distance_m,width_px,height_px,detected_count,detected_ids,source_case_id,source_image,annotated_image,full_res_count_at_same_distance,recovery_rate_vs_full_res,detection_rate_vs_all_36
0.8,150,112,1,16,render_003_distance_0p80m,render_003_distance_0p80m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p80m_w150px.png,36,0.027777777777777776,0.027777777777777776
0.8,100,75,0,,render_003_distance_0p80m,render_003_distance_0p80m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p80m_w100px.png,36,0.0,0.0
0.9,960,720,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,render_000_baseline_baseline,render_000_baseline_baseline.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p90m_w960px.png,36,1.0,1.0
0.9,400,300,26,0 3 4 5 8 9 10 11 12 16 17 18 21 22 23 24 25 26 27 28 29 30 32 33 34 35,render_000_baseline_baseline,render_000_baseline_baseline.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p90m_w400px.png,36,0.7222222222222222,0.7222222222222222
0.9,300,225,20,0 1 3 4 5 7 8 9 10 11 12 13 17 18 20 21 22 24 25 27,render_000_baseline_baseline,render_000_baseline_baseline.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p90m_w300px.png,36,0.5555555555555556,0.5555555555555556
0.9,200,150,0,,render_000_baseline_baseline,render_000_baseline_baseline.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p90m_w200px.png,36,0.0,0.0
0.9,150,112,0,,render_000_baseline_baseline,render_000_baseline_baseline.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p90m_w150px.png,36,0.0,0.0
0.9,100,75,0,,render_000_baseline_baseline,render_000_baseline_baseline.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p90m_w100px.png,36,0.0,0.0
1.0,960,720,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,render_004_distance_1p00m,render_004_distance_1p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p00m_w960px.png,36,1.0,1.0
1.0,400,300,25,0 1 2 3 5 8 9 12 13 14 15 17 18 19 20 21 22 23 24 26 30 31 32 33 35,render_004_distance_1p00m,render_004_distance_1p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p00m_w400px.png,36,0.6944444444444444,0.6944444444444444
1.0,300,225,3,8 10 11,render_004_distance_1p00m,render_004_distance_1p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p00m_w300px.png,36,0.08333333333333333,0.08333333333333333
1.0,200,150,0,,render_004_distance_1p00m,render_004_distance_1p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p00m_w200px.png,36,0.0,0.0
1.0,150,112,0,,render_004_distance_1p00m,render_004_distance_1p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p00m_w150px.png,36,0.0,0.0
1.0,100,75,0,,render_004_distance_1p00m,render_004_distance_1p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p00m_w100px.png,36,0.0,0.0
1.25,960,720,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,render_005_distance_1p25m,render_005_distance_1p25m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p25m_w960px.png,36,1.0,1.0
1.25,400,300,14,0 1 2 4 7 8 10 12 13 14 16 24 26 28,render_005_distance_1p25m,render_005_distance_1p25m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p25m_w400px.png,36,0.3888888888888889,0.3888888888888889
1.25,300,225,9,2 3 8 9 26 27 32 33 35,render_005_distance_1p25m,render_005_distance_1p25m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p25m_w300px.png,36,0.25,0.25
1.25,200,150,0,,render_005_distance_1p25m,render_005_distance_1p25m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p25m_w200px.png,36,0.0,0.0
1.25,150,112,0,,render_005_distance_1p25m,render_005_distance_1p25m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p25m_w150px.png,36,0.0,0.0
1.25,100,75,0,,render_005_distance_1p25m,render_005_distance_1p25m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p25m_w100px.png,36,0.0,0.0
1.6,960,720,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,render_006_distance_1p60m,render_006_distance_1p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p60m_w960px.png,36,1.0,1.0
1.6,400,300,9,0 2 5 11 17 30 32 34 35,render_006_distance_1p60m,render_006_distance_1p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p60m_w400px.png,36,0.25,0.25
1.6,300,225,0,,render_006_distance_1p60m,render_006_distance_1p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p60m_w300px.png,36,0.0,0.0
1.6,200,150,0,,render_006_distance_1p60m,render_006_distance_1p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p60m_w200px.png,36,0.0,0.0
1.6,150,112,0,,render_006_distance_1p60m,render_006_distance_1p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p60m_w150px.png,36,0.0,0.0
1.6,100,75,0,,render_006_distance_1p60m,render_006_distance_1p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d1p60m_w100px.png,36,0.0,0.0
2.0,960,720,24,0 1 2 3 5 8 9 11 12 13 14 15 17 18 19 20 21 23 30 31 32 33 34 35,render_007_distance_2p00m,render_007_distance_2p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d2p00m_w960px.png,24,1.0,0.6666666666666666
2.0,400,300,0,,render_007_distance_2p00m,render_007_distance_2p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d2p00m_w400px.png,24,0.0,0.0
2.0,300,225,0,,render_007_distance_2p00m,render_007_distance_2p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d2p00m_w300px.png,24,0.0,0.0
2.0,200,150,0,,render_007_distance_2p00m,render_007_distance_2p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d2p00m_w200px.png,24,0.0,0.0
2.0,150,112,0,,render_007_distance_2p00m,render_007_distance_2p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d2p00m_w150px.png,24,0.0,0.0
2.0,100,75,0,,render_007_distance_2p00m,render_007_distance_2p00m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d2p00m_w100px.png,24,0.0,0.0
