case_id,source_case_id,image,case_origin,factor,level,texture_name,expected_visible_tags,tag_size_mm,spacing_mm,render_width_px,render_height_px,camera_x_m,camera_y_m,camera_z_m,target_x_m,target_y_m,target_z_m,view_angle_deg,distance_m,occlusion_fraction,postprocess,fx_px,fy_px,cx_px,cy_px,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad
render_020_visible_tags_36,,render_020_visible_tags_36.png,blender_render,visible_tags,36,visible_36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_021_visible_tags_24,,render_021_visible_tags_24.png,blender_render,visible_tags,24,visible_24,24,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_022_visible_tags_18,,render_022_visible_tags_18.png,blender_render,visible_tags,18,visible_18,18,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_023_visible_tags_12,,render_023_visible_tags_12.png,blender_render,visible_tags,12,visible_12,12,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_024_visible_tags_6,,render_024_visible_tags_6.png,blender_render,visible_tags,6,visible_06,6,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_025_visible_tags_3,,render_025_visible_tags_3.png,blender_render,visible_tags,3,visible_03,3,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_026_visible_tags_1,,render_026_visible_tags_1.png,blender_render,visible_tags,1,visible_01,1,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_027_tag_size_30mm,,render_027_tag_size_30mm.png,blender_render,tag_size,30mm,tag_size_30mm,36,30.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_028_tag_size_45mm,,render_028_tag_size_45mm.png,blender_render,tag_size,45mm,tag_size_45mm,36,45.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_029_tag_size_60mm,,render_029_tag_size_60mm.png,blender_render,tag_size,60mm,tag_size_60mm,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_030_tag_size_75mm,,render_030_tag_size_75mm.png,blender_render,tag_size,75mm,tag_size_75mm,36,75.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_031_spacing_0mm,,render_031_spacing_0mm.png,blender_render,spacing,0mm,spacing_00mm,36,60.0,0.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_032_spacing_10mm,,render_032_spacing_10mm.png,blender_render,spacing,10mm,spacing_10mm,36,60.0,10.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_033_spacing_25mm,,render_033_spacing_25mm.png,blender_render,spacing,25mm,spacing_25mm,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_034_spacing_40mm,,render_034_spacing_40mm.png,blender_render,spacing,40mm,spacing_40mm,36,60.0,40.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
