blur_kernel_px,projected_tag_side_px,detected_count,width_px,height_px,distance_over_tag_size,scale_factor,image
15,50.400000806400016,0,960,720,20.833333,0.5,ratio_s0p5_r20p833.png
0,21.000000336000006,14,400,300,20.833333,0.5,ratio_s0p5_r20p833.png
3,21.000000336000006,5,400,300,20.833333,0.5,ratio_s0p5_r20p833.png
7,21.000000336000006,0,400,300,20.833333,0.5,ratio_s0p5_r20p833.png
11,21.000000336000006,0,400,300,20.833333,0.5,ratio_s0p5_r20p833.png
15,21.000000336000006,0,400,300,20.833333,0.5,ratio_s0p5_r20p833.png
0,15.750000252000005,9,300,225,20.833333,0.5,ratio_s0p5_r20p833.png
3,15.750000252000005,0,300,225,20.833333,0.5,ratio_s0p5_r20p833.png
7,15.750000252000005,0,300,225,20.833333,0.5,ratio_s0p5_r20p833.png
11,15.750000252000005,0,300,225,20.833333,0.5,ratio_s0p5_r20p833.png
15,15.750000252000005,0,300,225,20.833333,0.5,ratio_s0p5_r20p833.png
0,10.500000168000003,0,200,150,20.833333,0.5,ratio_s0p5_r20p833.png
3,10.500000168000003,0,200,150,20.833333,0.5,ratio_s0p5_r20p833.png
7,10.500000168000003,0,200,150,20.833333,0.5,ratio_s0p5_r20p833.png
11,10.500000168000003,0,200,150,20.833333,0.5,ratio_s0p5_r20p833.png
15,10.500000168000003,0,200,150,20.833333,0.5,ratio_s0p5_r20p833.png
0,7.875000126000002,0,150,112,20.833333,0.5,ratio_s0p5_r20p833.png
3,7.875000126000002,0,150,112,20.833333,0.5,ratio_s0p5_r20p833.png
7,7.875000126000002,0,150,112,20.833333,0.5,ratio_s0p5_r20p833.png
11,7.875000126000002,0,150,112,20.833333,0.5,ratio_s0p5_r20p833.png
15,7.875000126000002,0,150,112,20.833333,0.5,ratio_s0p5_r20p833.png
0,5.250000084000002,0,100,75,20.833333,0.5,ratio_s0p5_r20p833.png
3,5.250000084000002,0,100,75,20.833333,0.5,ratio_s0p5_r20p833.png
7,5.250000084000002,0,100,75,20.833333,0.5,ratio_s0p5_r20p833.png
11,5.250000084000002,0,100,75,20.833333,0.5,ratio_s0p5_r20p833.png
15,5.250000084000002,0,100,75,20.833333,0.5,ratio_s0p5_r20p833.png
0,39.374999507812504,36,960,720,26.666667,0.5,ratio_s0p5_r26p667.png
3,39.374999507812504,36,960,720,26.666667,0.5,ratio_s0p5_r26p667.png
7,39.374999507812504,10,960,720,26.666667,0.5,ratio_s0p5_r26p667.png
11,39.374999507812504,0,960,720,26.666667,0.5,ratio_s0p5_r26p667.png
15,39.374999507812504,0,960,720,26.666667,0.5,ratio_s0p5_r26p667.png
0,16.406249794921877,9,400,300,26.666667,0.5,ratio_s0p5_r26p667.png
3,16.406249794921877,1,400,300,26.666667,0.5,ratio_s0p5_r26p667.png
7,16.406249794921877,0,400,300,26.666667,0.5,ratio_s0p5_r26p667.png
11,16.406249794921877,0,400,300,26.666667,0.5,ratio_s0p5_r26p667.png
15,16.406249794921877,0,400,300,26.666667,0.5,ratio_s0p5_r26p667.png
0,12.304687346191407,0,300,225,26.666667,0.5,ratio_s0p5_r26p667.png
3,12.304687346191407,0,300,225,26.666667,0.5,ratio_s0p5_r26p667.png
7,12.304687346191407,0,300,225,26.666667,0.5,ratio_s0p5_r26p667.png
11,12.304687346191407,0,300,225,26.666667,0.5,ratio_s0p5_r26p667.png
15,12.304687346191407,0,300,225,26.666667,0.5,ratio_s0p5_r26p667.png
0,8.203124897460938,0,200,150,26.666667,0.5,ratio_s0p5_r26p667.png
3,8.203124897460938,0,200,150,26.666667,0.5,ratio_s0p5_r26p667.png
7,8.203124897460938,0,200,150,26.666667,0.5,ratio_s0p5_r26p667.png
11,8.203124897460938,0,200,150,26.666667,0.5,ratio_s0p5_r26p667.png
15,8.203124897460938,0,200,150,26.666667,0.5,ratio_s0p5_r26p667.png
0,6.152343673095704,0,150,112,26.666667,0.5,ratio_s0p5_r26p667.png
3,6.152343673095704,0,150,112,26.666667,0.5,ratio_s0p5_r26p667.png
7,6.152343673095704,0,150,112,26.666667,0.5,ratio_s0p5_r26p667.png
11,6.152343673095704,0,150,112,26.666667,0.5,ratio_s0p5_r26p667.png
15,6.152343673095704,0,150,112,26.666667,0.5,ratio_s0p5_r26p667.png
0,4.101562448730469,0,100,75,26.666667,0.5,ratio_s0p5_r26p667.png
3,4.101562448730469,0,100,75,26.666667,0.5,ratio_s0p5_r26p667.png
7,4.101562448730469,0,100,75,26.666667,0.5,ratio_s0p5_r26p667.png
11,4.101562448730469,0,100,75,26.666667,0.5,ratio_s0p5_r26p667.png
15,4.101562448730469,0,100,75,26.666667,0.5,ratio_s0p5_r26p667.png
0,31.500000315,24,960,720,33.333333,0.5,ratio_s0p5_r33p333.png
3,31.500000315,25,960,720,33.333333,0.5,ratio_s0p5_r33p333.png
7,31.500000315,0,960,720,33.333333,0.5,ratio_s0p5_r33p333.png
11,31.500000315,0,960,720,33.333333,0.5,ratio_s0p5_r33p333.png
15,31.500000315,0,960,720,33.333333,0.5,ratio_s0p5_r33p333.png
0,13.125000131250001,0,400,300,33.333333,0.5,ratio_s0p5_r33p333.png
3,13.125000131250001,0,400,300,33.333333,0.5,ratio_s0p5_r33p333.png
7,13.125000131250001,0,400,300,33.333333,0.5,ratio_s0p5_r33p333.png
11,13.125000131250001,0,400,300,33.333333,0.5,ratio_s0p5_r33p333.png
15,13.125000131250001,0,400,300,33.333333,0.5,ratio_s0p5_r33p333.png
0,9.8437500984375,0,300,225,33.333333,0.5,ratio_s0p5_r33p333.png
3,9.8437500984375,0,300,225,33.333333,0.5,ratio_s0p5_r33p333.png
7,9.8437500984375,0,300,225,33.333333,0.5,ratio_s0p5_r33p333.png
11,9.8437500984375,0,300,225,33.333333,0.5,ratio_s0p5_r33p333.png
15,9.8437500984375,0,300,225,33.333333,0.5,ratio_s0p5_r33p333.png
0,6.5625000656250005,0,200,150,33.333333,0.5,ratio_s0p5_r33p333.png
3,6.5625000656250005,0,200,150,33.333333,0.5,ratio_s0p5_r33p333.png
7,6.5625000656250005,0,200,150,33.333333,0.5,ratio_s0p5_r33p333.png
11,6.5625000656250005,0,200,150,33.333333,0.5,ratio_s0p5_r33p333.png
15,6.5625000656250005,0,200,150,33.333333,0.5,ratio_s0p5_r33p333.png
0,4.92187504921875,0,150,112,33.333333,0.5,ratio_s0p5_r33p333.png
3,4.92187504921875,0,150,112,33.333333,0.5,ratio_s0p5_r33p333.png
7,4.92187504921875,0,150,112,33.333333,0.5,ratio_s0p5_r33p333.png
11,4.92187504921875,0,150,112,33.333333,0.5,ratio_s0p5_r33p333.png
15,4.92187504921875,0,150,112,33.333333,0.5,ratio_s0p5_r33p333.png
0,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png
3,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png
7,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png
11,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png
15,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png
0,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png
3,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png
7,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png
11,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png
15,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png
0,58.333333333333336,8,400,300,7.5,1.0,ratio_s1_r7p500.png
3,58.333333333333336,8,400,300,7.5,1.0,ratio_s1_r7p500.png
7,58.333333333333336,8,400,300,7.5,1.0,ratio_s1_r7p500.png
11,58.333333333333336,3,400,300,7.5,1.0,ratio_s1_r7p500.png
15,58.333333333333336,0,400,300,7.5,1.0,ratio_s1_r7p500.png
0,43.75,8,300,225,7.5,1.0,ratio_s1_r7p500.png
3,43.75,8,300,225,7.5,1.0,ratio_s1_r7p500.png
7,43.75,6,300,225,7.5,1.0,ratio_s1_r7p500.png
11,43.75,0,300,225,7.5,1.0,ratio_s1_r7p500.png
15,43.75,0,300,225,7.5,1.0,ratio_s1_r7p500.png
0,29.166666666666668,6,200,150,7.5,1.0,ratio_s1_r7p500.png
3,29.166666666666668,5,200,150,7.5,1.0,ratio_s1_r7p500.png
7,29.166666666666668,0,200,150,7.5,1.0,ratio_s1_r7p500.png
11,29.166666666666668,0,200,150,7.5,1.0,ratio_s1_r7p500.png
15,29.166666666666668,0,200,150,7.5,1.0,ratio_s1_r7p500.png
0,21.875,8,150,112,7.5,1.0,ratio_s1_r7p500.png
3,21.875,6,150,112,7.5,1.0,ratio_s1_r7p500.png
7,21.875,0,150,112,7.5,1.0,ratio_s1_r7p500.png
11,21.875,0,150,112,7.5,1.0,ratio_s1_r7p500.png
15,21.875,0,150,112,7.5,1.0,ratio_s1_r7p500.png
0,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png
3,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png
7,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png
11,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png
15,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png
0,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png
3,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png
7,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png
11,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png
15,105.0,23,960,720,10.0,1.0,ratio_s1_r10p000.png
0,43.75,24,400,300,10.0,1.0,ratio_s1_r10p000.png
3,43.75,24,400,300,10.0,1.0,ratio_s1_r10p000.png
7,43.75,19,400,300,10.0,1.0,ratio_s1_r10p000.png
11,43.75,0,400,300,10.0,1.0,ratio_s1_r10p000.png
15,43.75,0,400,300,10.0,1.0,ratio_s1_r10p000.png
0,32.8125,24,300,225,10.0,1.0,ratio_s1_r10p000.png
3,32.8125,23,300,225,10.0,1.0,ratio_s1_r10p000.png
7,32.8125,0,300,225,10.0,1.0,ratio_s1_r10p000.png
11,32.8125,0,300,225,10.0,1.0,ratio_s1_r10p000.png
15,32.8125,0,300,225,10.0,1.0,ratio_s1_r10p000.png
0,21.875,20,200,150,10.0,1.0,ratio_s1_r10p000.png
3,21.875,16,200,150,10.0,1.0,ratio_s1_r10p000.png
7,21.875,0,200,150,10.0,1.0,ratio_s1_r10p000.png
11,21.875,0,200,150,10.0,1.0,ratio_s1_r10p000.png
15,21.875,0,200,150,10.0,1.0,ratio_s1_r10p000.png
0,16.40625,1,150,112,10.0,1.0,ratio_s1_r10p000.png
3,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png
7,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png
11,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png
15,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png
0,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png
3,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png
7,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png
11,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png
15,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png
0,78.75000196875006,36,960,720,13.333333,1.0,ratio_s1_r13p333.png
3,78.75000196875006,36,960,720,13.333333,1.0,ratio_s1_r13p333.png
7,78.75000196875006,36,960,720,13.333333,1.0,ratio_s1_r13p333.png
11,78.75000196875006,32,960,720,13.333333,1.0,ratio_s1_r13p333.png
15,78.75000196875006,14,960,720,13.333333,1.0,ratio_s1_r13p333.png
0,32.81250082031252,36,400,300,13.333333,1.0,ratio_s1_r13p333.png
3,32.81250082031252,34,400,300,13.333333,1.0,ratio_s1_r13p333.png
7,32.81250082031252,0,400,300,13.333333,1.0,ratio_s1_r13p333.png
11,32.81250082031252,0,400,300,13.333333,1.0,ratio_s1_r13p333.png
15,32.81250082031252,0,400,300,13.333333,1.0,ratio_s1_r13p333.png
0,24.60937561523439,18,300,225,13.333333,1.0,ratio_s1_r13p333.png
3,24.60937561523439,13,300,225,13.333333,1.0,ratio_s1_r13p333.png
7,24.60937561523439,0,300,225,13.333333,1.0,ratio_s1_r13p333.png
11,24.60937561523439,0,300,225,13.333333,1.0,ratio_s1_r13p333.png
15,24.60937561523439,0,300,225,13.333333,1.0,ratio_s1_r13p333.png
0,16.40625041015626,16,200,150,13.333333,1.0,ratio_s1_r13p333.png
3,16.40625041015626,4,200,150,13.333333,1.0,ratio_s1_r13p333.png
7,16.40625041015626,0,200,150,13.333333,1.0,ratio_s1_r13p333.png
11,16.40625041015626,0,200,150,13.333333,1.0,ratio_s1_r13p333.png
15,16.40625041015626,0,200,150,13.333333,1.0,ratio_s1_r13p333.png
0,12.304687807617196,1,150,112,13.333333,1.0,ratio_s1_r13p333.png
3,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png
7,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png
11,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png
15,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png
0,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png
3,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png
7,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png
11,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png
15,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png
0,70.0,36,960,720,15.0,1.0,ratio_s1_r15p000.png
3,70.0,36,960,720,15.0,1.0,ratio_s1_r15p000.png
7,70.0,36,960,720,15.0,1.0,ratio_s1_r15p000.png
11,70.0,32,960,720,15.0,1.0,ratio_s1_r15p000.png
15,70.0,0,960,720,15.0,1.0,ratio_s1_r15p000.png
0,29.166666666666668,26,400,300,15.0,1.0,ratio_s1_r15p000.png
3,29.166666666666668,21,400,300,15.0,1.0,ratio_s1_r15p000.png
7,29.166666666666668,0,400,300,15.0,1.0,ratio_s1_r15p000.png
11,29.166666666666668,0,400,300,15.0,1.0,ratio_s1_r15p000.png
15,29.166666666666668,0,400,300,15.0,1.0,ratio_s1_r15p000.png
0,21.875,20,300,225,15.0,1.0,ratio_s1_r15p000.png
3,21.875,11,300,225,15.0,1.0,ratio_s1_r15p000.png
7,21.875,0,300,225,15.0,1.0,ratio_s1_r15p000.png
11,21.875,0,300,225,15.0,1.0,ratio_s1_r15p000.png
15,21.875,0,300,225,15.0,1.0,ratio_s1_r15p000.png
0,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png
3,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png
7,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png
11,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png
15,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png
0,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png
3,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png
7,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png
11,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png
15,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png
0,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png
3,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png
7,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png
11,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png
